id_empresa,nome_fantasia,regiao_administrativa_df,setor,porte,genero_proprietario,idade_proprietario,area_desafio_mapeado,solucao_proposta,data_entrada_programa,data_fim_ciclo,pessoas_ocupadas_inicial,faturamento_bruto_mensal_inicial,custos_variaveis_mensal_inicial,produtividade_inicial,pessoas_ocupadas_final,faturamento_bruto_mensal_final,custos_variaveis_mensal_final,produtividade_final,percentual_implementacao_solucao,nps_atendimento
255,Espaço Candango 2,Águas Claras,Serviço,ME,Masculino,44,Operações,Plano de melhoria de layout e fluxo logístico/produtivo,2025-07-25,2026-01-23,9,16341.6,6908.24,1048.15,9,17232.54,7235.77,1110.75,51.9,6
256,Salão Buriti,Plano Piloto,Serviço,EPP,Feminino,28,Comercial,Plano de expansão de canais de venda,2025-07-04,2026-01-02,41,115168.17,41632.38,1793.56,42,143977.92,48418.63,2275.22,66.8,7
257,Boutique Cristal,Santa Maria,Comércio,ME,Feminino,36,Comercial,Plano de expansão de canais de venda,2025-05-05,2025-11-03,9,17676.16,9939.17,859.67,9,23704.68,12664.04,1226.74,68.7,7
258,Salão Alvorada 2,Gama,Serviço,ME,Feminino,50,Marketing,Consultoria em posicionamento de marca,2025-11-12,2026-05-13,8,15021.92,4553.98,1308.49,8,16297.56,4715.79,1447.72,59.2,8
259,Academia do Planalto 2,Planaltina,Serviço,ME,Masculino,37,Marketing,Desenvolvimento de identidade visual e branding,2026-01-13,2026-07-14,4,7178.6,2947.4,1057.8,4,6976.4,2856.0,1030.1,50.8,5
260,Clínica Meridiano 2,Planaltina,Serviço,ME,Masculino,53,Marketing,Criação de plano de marketing digital,2025-09-09,2026-03-10,5,30000.0,10817.35,3836.53,4,19500.0,8006.28,2873.43,0.0,3
261,Escritório Sol Nascente 3,Núcleo Bandeirante,Serviço,ME,Feminino,43,Marketing,Plano de captação de clientes via marketing local,2024-09-21,2025-03-22,4,8763.09,2767.51,1498.89,4,8988.77,2656.77,1583.0,63.5,7
262,Salão Talento DF 2,Santa Maria,Serviço,ME,Masculino,68,Operações,Padronização de processos operacionais,2025-09-13,2026-03-14,7,9244.93,3389.75,836.45,7,9022.06,3255.25,823.83,53.9,6
263,Consultoria Cristal 2,Planaltina,Serviço,ME,Masculino,31,Finanças,Plano de redução e renegociação de custos fixos,2025-04-04,2025-10-03,1,7894.8,2397.76,5497.04,1,7000.58,2024.32,4976.26,59.7,8
264,Ótica Ipê Amarelo,Planaltina,Comércio,ME,Masculino,31,Marketing,Plano de captação de clientes via marketing local,2025-04-24,2025-10-23,1,4061.62,2429.67,1631.95,1,3082.52,1987.3,1095.21,19.0,7
265,Clínica Candango 2,Ceilândia,Serviço,ME,Masculino,32,Finanças,Separação financeira entre pessoa física e jurídica,2025-12-27,2026-06-27,9,17400.27,7232.92,1129.71,9,20263.46,8064.42,1355.45,61.8,9
266,Consultoria Talento DF 2,Vicente Pires,Serviço,EPP,Masculino,39,Comercial,Implementação de funil de vendas estruturado,2025-04-18,2025-10-17,22,39607.77,13071.1,1206.21,22,46607.0,14206.45,1472.75,66.8,9
267,Espaço das Águas Claras,Plano Piloto,Serviço,ME,Masculino,44,Marketing,Desenvolvimento de identidade visual e branding,2025-11-01,2026-05-02,1,5674.6,1729.6,3944.99,1,5518.36,1733.31,3785.06,43.8,7
268,Ótica Brasília,Samambaia,Comércio,ME,Masculino,48,Comercial,Plano de expansão de canais de venda,2025-07-01,2025-12-30,7,13890.54,8776.53,730.57,7,13760.68,8465.37,756.47,61.1,8
269,Salão do Cerrado 2,Núcleo Bandeirante,Serviço,ME,Feminino,25,Comercial,Plano de expansão de canais de venda,2024-07-24,2025-01-22,4,16041.41,6964.0,2269.35,4,17555.5,7629.21,2481.57,49.7,8
270,Distribuidora do Planalto,Guará,Comércio,ME,Feminino,22,Pessoas,Capacitação em liderança para o(a) proprietário(a),2025-08-02,2026-01-31,3,11489.51,6734.66,1584.95,3,12089.62,7097.3,1664.1,49.4,7
271,Laticínios Lago Sul,Ceilândia,Indústria,ME,Feminino,41,Operações,Padronização de processos operacionais,2025-03-29,2025-09-27,9,5281.76,2572.46,301.03,9,5128.68,2513.29,290.6,48.0,6
272,Consultoria Meridiano 2,Ceilândia,Serviço,ME,Masculino,74,Marketing,Consultoria em posicionamento de marca,2025-04-30,2025-10-29,5,6519.48,2091.14,885.67,5,6334.64,1889.33,889.06,65.0,8
273,Loja Bandeirante,Ceilândia,Comércio,ME,Feminino,28,Pessoas,"Plano de cargos, salários e retenção de talentos",2024-12-02,2025-06-02,6,1605.12,902.22,117.15,6,1544.41,875.28,111.52,46.9,7
274,Academia JK 2,Gama,Serviço,ME,Masculino,29,Comercial,Treinamento de técnicas de vendas para a equipe,2024-09-22,2025-03-23,9,7460.04,1976.79,609.25,9,10568.03,2109.21,939.87,93.6,10
275,Metalúrgica Sol Nascente,Ceilândia,Indústria,EPP,Masculino,30,Operações,Consultoria em gestão da qualidade,2025-08-28,2026-02-26,90,100857.85,45607.49,613.89,90,131303.61,52639.06,874.05,84.2,10
276,Clínica do Cerrado 2,Vicente Pires,Serviço,EPP,Masculino,38,Finanças,Capacitação em gestão de capital de giro,2024-10-30,2025-04-30,43,30102.88,8405.85,504.58,43,33586.63,8849.65,575.28,60.5,8
277,Confecções Bandeirante,Vicente Pires,Indústria,ME,Masculino,32,Finanças,Plano de redução e renegociação de custos fixos,2024-07-27,2025-01-25,10,12949.64,7485.89,546.37,10,12962.95,7586.92,537.6,45.2,3
278,Escritório das Águas Claras 2,Gama,Serviço,ME,Feminino,29,Comercial,Criação de script de atendimento comercial,2025-03-28,2025-09-26,6,6937.48,2006.91,821.76,6,5433.51,1832.64,600.14,18.0,4
279,Espaço das Águas Claras 2,Recanto das Emas,Serviço,ME,Masculino,42,Finanças,Consultoria em precificação e formação de preço de venda,2025-08-09,2026-02-07,2,5614.73,1827.92,1893.4,3,7957.39,2009.3,1982.69,98.7,9
280,Escritório JK 2,Samambaia,Serviço,ME,Feminino,29,Comercial,Criação de script de atendimento comercial,2024-10-03,2025-04-03,6,6691.2,2617.04,679.03,6,7232.45,2635.63,766.14,67.8,7
281,Papelaria Cristal,Ceilândia,Comércio,ME,Masculino,37,Finanças,Implementação de fluxo de caixa semanal,2025-01-07,2025-07-08,7,16587.69,9228.81,1051.27,6,14176.06,8254.93,986.86,32.7,9
282,Salão Lago Sul 2,Santa Maria,Serviço,ME,Masculino,24,Marketing,Desenvolvimento de identidade visual e branding,2025-02-14,2025-08-15,8,7743.25,2259.57,685.46,7,5976.14,2034.35,563.11,17.6,7
283,Escritório Brasília 2,Ceilândia,Serviço,ME,Masculino,65,Finanças,Consultoria em precificação e formação de preço de venda,2025-12-16,2026-06-16,1,24390.44,10955.64,13434.8,1,32720.76,12837.26,19883.5,87.9,7
284,Boutique do Planalto,Ceilândia,Comércio,ME,Masculino,42,Finanças,Consultoria em precificação e formação de preço de venda,2024-08-29,2025-02-27,8,5680.29,3802.34,234.74,8,6800.72,4351.39,306.17,69.7,8
285,Ótica do Cerrado,Plano Piloto,Comércio,EPP,Feminino,30,Pessoas,Capacitação em liderança para o(a) proprietário(a),2025-12-13,2026-06-13,30,64362.05,43894.65,682.25,30,53246.05,38262.39,499.46,25.6,5
286,Oficina Buriti 2,Ceilândia,Serviço,ME,Masculino,28,Marketing,Consultoria em posicionamento de marca,2024-08-29,2025-02-27,1,9113.72,3219.05,5894.66,1,8540.84,3094.85,5445.98,43.9,6
287,Clínica do Cerrado 3,Águas Claras,Serviço,ME,Masculino,44,Pessoas,"Plano de cargos, salários e retenção de talentos",2025-05-19,2025-11-17,9,6168.16,2733.6,381.62,9,6941.37,2941.95,444.38,62.9,8
288,Consultoria Brasília 2,Guará,Serviço,ME,Masculino,48,Comercial,Consultoria em negociação com fornecedores e clientes,2025-10-28,2026-04-28,5,27774.92,7745.3,4005.92,5,31707.13,8109.4,4719.55,65.4,7
289,Papelaria Lago Sul,Sobradinho,Comércio,ME,Feminino,24,Finanças,Separação financeira entre pessoa física e jurídica,2025-12-04,2026-06-04,4,8910.81,5021.01,972.45,4,8249.11,4875.84,843.32,31.6,6
290,Consultoria JK 2,Recanto das Emas,Serviço,ME,Feminino,29,Marketing,Consultoria em posicionamento de marca,2025-04-27,2025-10-26,2,28682.5,11852.56,8414.97,2,33567.86,14097.94,9734.96,45.5,7
291,Papelaria do Planalto,São Sebastião,Comércio,EPP,Masculino,25,Marketing,Estruturação de presença em redes sociais,2025-03-28,2025-09-26,12,52507.73,28922.27,1965.45,12,55529.28,28995.68,2211.13,69.1,7
292,Clínica Candango 3,Águas Claras,Serviço,ME,Feminino,35,Finanças,Capacitação em gestão de capital de giro,2025-09-20,2026-03-21,1,6217.48,2252.67,3964.81,1,8121.57,2835.34,5286.23,58.8,8
293,Academia Bandeirante 2,São Sebastião,Serviço,ME,Masculino,74,Operações,Consultoria em gestão da qualidade,2025-12-07,2026-06-07,3,20005.14,5006.94,4999.4,4,26118.65,4578.14,5385.13,100.0,10
294,Espaço do Cerrado 2,Planaltina,Serviço,ME,Masculino,40,Marketing,Plano de captação de clientes via marketing local,2024-06-08,2024-12-07,3,8586.95,2744.81,1947.38,3,7084.78,2430.43,1551.45,34.4,1
295,Espaço Talento DF 2,Taguatinga,Serviço,ME,Masculino,28,Operações,Padronização de processos operacionais,2024-11-07,2025-05-08,5,13216.09,5024.46,1638.33,5,11734.81,4568.68,1433.23,43.9,9
296,Mercadinho Alvorada,Vicente Pires,Comércio,ME,Feminino,53,Comercial,Criação de script de atendimento comercial,2024-11-22,2025-05-23,6,3848.24,2537.78,218.41,6,3914.67,2613.88,216.8,44.5,8
297,Espaço Candango 3,Samambaia,Serviço,ME,Masculino,51,Marketing,Desenvolvimento de identidade visual e branding,2025-10-22,2026-04-22,9,9860.04,3569.06,699.0,9,11372.06,3974.79,821.92,58.3,8
298,Consultoria Sol Nascente 2,Ceilândia,Serviço,EPP,Feminino,31,Finanças,Capacitação em gestão de capital de giro,2024-06-11,2024-12-10,41,61546.83,17323.54,1078.62,41,65466.44,17444.79,1171.26,60.0,6
299,Manufatura Talento DF,Samambaia,Indústria,ME,Masculino,31,Pessoas,Definição de rotinas e organograma da equipe,2024-08-16,2025-02-14,10,4212.13,2143.75,206.84,10,3738.18,2007.95,173.02,31.2,4
300,Cerâmica Bandeirante,Plano Piloto,Indústria,ME,Masculino,36,Comercial,Treinamento de técnicas de vendas para a equipe,2024-06-03,2024-12-02,18,9334.33,5525.98,211.58,19,11609.5,6185.03,285.5,89.5,8
301,Loja Cristal,Plano Piloto,Comércio,ME,Feminino,45,Finanças,Plano de redução e renegociação de custos fixos,2026-01-03,2026-07-04,6,3216.87,1784.26,238.77,6,3919.68,1923.62,332.68,92.6,9
302,Assessoria do Cerrado 2,Planaltina,Serviço,EPP,Feminino,52,Finanças,Capacitação em gestão de capital de giro,2024-06-20,2024-12-19,26,34826.4,12852.91,845.13,25,29594.66,11938.68,706.24,27.1,3
303,Academia Talento DF 2,Riacho Fundo,Serviço,ME,Feminino,35,Marketing,Plano de captação de clientes via marketing local,2024-11-09,2025-05-10,2,7560.91,2672.13,2444.39,2,8758.08,2891.59,2933.24,65.5,8
304,Mercearia das Águas Claras,Samambaia,Comércio,ME,Masculino,52,Pessoas,Capacitação em liderança para o(a) proprietário(a),2025-04-15,2025-10-14,4,15437.64,9552.68,1471.24,3,11982.71,7995.36,1329.12,17.7,5
305,Espaço Sol Nascente 2,Planaltina,Serviço,ME,Masculino,26,Pessoas,"Plano de cargos, salários e retenção de talentos",2024-12-30,2025-06-30,1,11111.43,3521.82,7589.6,1,11193.59,3494.14,7699.45,53.2,6
306,Escritório JK 3,Plano Piloto,Serviço,ME,Feminino,27,Marketing,Plano de captação de clientes via marketing local,2024-07-26,2025-01-24,2,3815.5,1563.55,1125.97,2,3066.96,1404.02,831.47,18.0,5
307,Ótica Sol Nascente,Sobradinho,Comércio,ME,Feminino,22,Pessoas,Definição de rotinas e organograma da equipe,2025-02-07,2025-08-08,9,2561.03,1604.23,106.31,9,2506.38,1549.69,106.3,55.4,8
308,Assessoria do Planalto 2,Taguatinga,Serviço,ME,Masculino,51,Operações,Implementação de controle de estoque,2025-10-01,2026-04-01,2,10779.09,2866.94,3956.08,2,12689.89,3165.77,4762.06,61.0,10
309,Studio Lago Sul 2,Ceilândia,Serviço,ME,Feminino,42,Comercial,Criação de script de atendimento comercial,2024-11-24,2025-05-25,6,20659.2,9139.79,1919.9,6,24496.39,10510.37,2331.0,58.9,7
310,Manufatura Buriti,Planaltina,Indústria,ME,Masculino,31,Marketing,Estruturação de presença em redes sociais,2025-04-11,2025-10-10,2,4486.5,2135.91,1175.3,2,6858.16,2788.69,2034.74,96.3,10
311,Boutique Candango,Guará,Comércio,ME,Masculino,18,Finanças,Implementação de fluxo de caixa semanal,2025-03-14,2025-09-12,6,28159.48,19978.89,1363.43,7,39130.06,25684.61,1920.78,85.4,9
312,Oficina Talento DF 2,Sobradinho,Serviço,EPP,Masculino,53,Finanças,Implementação de fluxo de caixa semanal,2024-10-28,2025-04-28,49,76296.76,19286.96,1163.47,49,86816.29,20110.01,1361.35,64.1,7
313,Consultoria do Cerrado 2,Gama,Serviço,EPP,Masculino,47,Comercial,Treinamento de técnicas de vendas para a equipe,2024-06-02,2024-12-01,28,143567.11,46354.9,3471.86,28,204616.62,50720.3,5496.3,100.0,10
314,Consultoria Talento DF 3,Sobradinho,Serviço,ME,Masculino,36,Finanças,Separação financeira entre pessoa física e jurídica,2025-10-25,2026-04-25,2,7968.89,2813.31,2577.79,2,9681.67,2931.47,3375.1,83.5,10
315,Studio Alvorada 2,Plano Piloto,Serviço,ME,Masculino,33,Pessoas,Capacitação em liderança para o(a) proprietário(a),2026-01-28,2026-07-29,1,2470.02,632.22,1837.8,1,2763.47,645.15,2118.32,65.0,8
316,Mercadinho Lago Sul,Ceilândia,Comércio,ME,Feminino,58,Pessoas,Capacitação em liderança para o(a) proprietário(a),2025-04-07,2025-10-06,7,3135.89,2185.14,135.82,7,3678.44,2464.99,173.35,67.8,7
317,Ótica Cristal,Ceilândia,Comércio,EPP,Feminino,50,Comercial,Consultoria em negociação com fornecedores e clientes,2025-10-20,2026-04-20,14,35156.98,21168.59,999.17,14,41042.32,23013.1,1287.8,77.6,7
318,Salão Bandeirante 2,Ceilândia,Serviço,ME,Masculino,39,Marketing,Estruturação de presença em redes sociais,2024-12-31,2025-07-01,3,12697.58,4548.7,2716.29,3,11935.16,4486.83,2482.78,38.2,5
319,Consultoria Meridiano 3,Plano Piloto,Serviço,ME,Feminino,42,Comercial,Implementação de funil de vendas estruturado,2025-12-28,2026-06-28,8,8646.74,3531.9,639.36,8,10081.26,3705.02,797.03,77.3,9
320,Pet Shop JK,Planaltina,Comércio,ME,Masculino,55,Finanças,Consultoria em precificação e formação de preço de venda,2025-05-13,2025-11-11,5,19468.04,13008.99,1291.81,5,18066.47,12655.07,1082.28,28.5,4
321,Oficina do Cerrado 2,Plano Piloto,Serviço,EPP,Masculino,57,Comercial,Implementação de funil de vendas estruturado,2025-10-02,2026-04-02,44,66596.34,22717.52,997.25,44,74824.02,23896.75,1157.44,64.5,8
322,Oficina do Cerrado 3,Gama,Serviço,ME,Masculino,39,Finanças,Separação financeira entre pessoa física e jurídica,2025-07-16,2026-01-14,8,3898.4,1236.66,332.72,8,4102.78,1336.57,345.78,44.3,5
323,Oficina Sol Nascente 2,Planaltina,Serviço,ME,Feminino,39,Comercial,Implementação de funil de vendas estruturado,2025-12-16,2026-06-16,6,8589.48,2224.86,1060.77,6,11242.73,2126.24,1519.42,96.6,10
324,Boutique das Águas Claras,Guará,Comércio,EPP,Masculino,42,Finanças,Consultoria em precificação e formação de preço de venda,2025-05-07,2025-11-05,47,96069.78,70381.12,546.57,47,111957.19,77519.63,732.71,76.8,10
325,Assessoria do Cerrado 3,Guará,Serviço,ME,Masculino,51,Finanças,Plano de redução e renegociação de custos fixos,2025-10-30,2026-04-30,1,8032.52,2959.07,5073.45,2,11521.8,3580.82,3970.49,88.4,10
326,Distribuidora Brasília,Plano Piloto,Comércio,EPP,Feminino,36,Finanças,Capacitação em gestão de capital de giro,2025-12-21,2026-06-21,19,50964.9,34467.92,868.26,19,54670.98,36154.31,974.56,60.0,10
327,Clínica das Águas Claras 2,Plano Piloto,Serviço,ME,Masculino,24,Pessoas,"Plano de cargos, salários e retenção de talentos",2025-09-07,2026-03-08,3,7342.16,2482.4,1619.92,2,4772.4,1852.18,1460.11,11.3,3
328,Ótica Buriti,Gama,Comércio,ME,Masculino,29,Finanças,Implementação de fluxo de caixa semanal,2025-01-02,2025-07-03,9,6359.04,3971.49,265.28,9,6063.07,3772.09,254.55,51.6,8
329,Consultoria do Cerrado 3,Gama,Serviço,EPP,Masculino,74,Comercial,Implementação de funil de vendas estruturado,2024-07-26,2025-01-24,34,126793.61,32881.51,2762.12,34,122047.63,33444.83,2605.96,40.2,4
330,Studio Ipê Amarelo 2,Plano Piloto,Serviço,ME,Masculino,74,Marketing,Desenvolvimento de identidade visual e branding,2025-02-06,2025-08-07,3,6435.45,1826.37,1536.36,3,6095.21,1882.49,1404.24,33.3,6
331,Salão do Cerrado 3,Plano Piloto,Serviço,ME,Feminino,56,Comercial,Consultoria em negociação com fornecedores e clientes,2025-07-28,2026-01-26,2,8883.8,2977.05,2953.38,2,11875.74,3105.03,4385.36,99.1,10
332,Studio do Cerrado 2,Guará,Serviço,ME,Masculino,40,Comercial,Treinamento de técnicas de vendas para a equipe,2025-11-06,2026-05-07,8,9592.58,2861.86,841.34,8,10897.71,2901.42,999.54,71.4,9
333,Escritório das Águas Claras 3,Recanto das Emas,Serviço,ME,Masculino,49,Finanças,Implementação de fluxo de caixa semanal,2025-09-13,2026-03-14,8,9309.03,2410.0,862.38,8,9122.52,2480.76,830.22,41.3,7
334,Espaço JK 2,Taguatinga,Serviço,ME,Feminino,49,Marketing,Desenvolvimento de identidade visual e branding,2025-06-24,2025-12-23,1,16494.62,5924.91,10569.7,1,17013.02,6238.72,10774.3,45.0,4
335,Salão Buriti 2,Águas Claras,Serviço,ME,Masculino,28,Marketing,Consultoria em posicionamento de marca,2025-04-24,2025-10-23,4,3891.03,1333.93,639.27,4,4325.36,1380.32,736.26,65.8,7
336,Estúdio Talento DF 2,Riacho Fundo,Serviço,ME,Feminino,30,Marketing,Desenvolvimento de identidade visual e branding,2026-01-11,2026-07-12,5,2697.79,901.8,359.2,4,2067.5,794.49,318.25,11.4,3
337,Gráfica das Águas Claras,Ceilândia,Indústria,ME,Feminino,64,Marketing,Consultoria em posicionamento de marca,2024-10-27,2025-04-27,5,14726.09,8936.47,1157.92,5,13412.27,8597.88,962.88,27.2,5
338,Academia Talento DF 3,São Sebastião,Serviço,ME,Masculino,19,Comercial,Plano de expansão de canais de venda,2025-09-27,2026-03-28,7,4541.81,1680.04,408.82,7,5635.99,2007.85,518.3,59.1,8
339,Papelaria Bandeirante,Taguatinga,Comércio,ME,Feminino,37,Comercial,Treinamento de técnicas de vendas para a equipe,2025-05-03,2025-11-01,7,6371.0,3505.85,409.31,7,7677.47,3825.17,550.33,84.7,10
340,Confecções Brasília,Planaltina,Indústria,ME,Masculino,36,Finanças,Separação financeira entre pessoa física e jurídica,2025-04-09,2025-10-08,16,5541.04,3337.82,137.7,16,6718.11,3696.18,188.87,84.8,8
341,Consultoria Talento DF 4,Águas Claras,Serviço,ME,Feminino,53,Comercial,Plano de expansão de canais de venda,2025-01-30,2025-07-31,8,5470.3,1895.56,446.84,8,3555.7,1409.9,268.23,5.4,2
342,Armarinhos Brasília,Ceilândia,Comércio,EPP,Masculino,31,Finanças,Separação financeira entre pessoa física e jurídica,2025-06-23,2025-12-22,43,47371.27,30950.63,381.88,44,60907.38,36861.92,546.49,82.1,8
343,Mercadinho das Águas Claras,Vicente Pires,Comércio,ME,Feminino,48,Comercial,Treinamento de técnicas de vendas para a equipe,2026-01-31,2026-08-01,4,3335.03,2427.62,226.85,4,3316.92,2423.89,223.26,48.1,7
344,Mercadinho do Planalto,Águas Claras,Comércio,ME,Masculino,28,Marketing,Criação de plano de marketing digital,2025-02-03,2025-08-04,3,5684.4,3250.59,811.27,3,6302.58,3531.3,923.76,57.7,7
345,Oficina Meridiano 2,Vicente Pires,Serviço,ME,Feminino,45,Finanças,Plano de redução e renegociação de custos fixos,2024-08-08,2025-02-06,3,11811.11,4368.7,2480.8,3,15717.5,4943.64,3591.29,86.9,8
346,Assessoria do Planalto 3,Samambaia,Serviço,EPP,Masculino,27,Finanças,Separação financeira entre pessoa física e jurídica,2024-08-17,2025-02-15,44,56282.43,17246.74,887.17,44,36583.58,13039.56,535.09,0.0,2
347,Consultoria Sol Nascente 3,São Sebastião,Serviço,ME,Feminino,54,Marketing,Desenvolvimento de identidade visual e branding,2024-09-16,2025-03-17,6,7981.15,2053.89,987.88,6,8247.42,2049.42,1033.0,55.9,5
348,Studio Meridiano 2,Vicente Pires,Serviço,ME,Feminino,45,Comercial,Implementação de funil de vendas estruturado,2025-02-04,2025-08-05,3,10828.11,3654.23,2391.29,3,11157.7,4019.86,2379.28,34.8,7
349,Alimentos do Planalto,Gama,Indústria,ME,Masculino,26,Operações,Implementação de controle de estoque,2024-06-03,2024-12-02,14,5940.49,3010.18,209.31,14,3909.91,2176.74,123.8,14.2,3
350,Metalúrgica Buriti,Taguatinga,Indústria,ME,Masculino,33,Pessoas,Definição de rotinas e organograma da equipe,2024-11-19,2025-05-20,5,13751.52,6192.29,1511.85,6,19023.92,7139.65,1980.71,100.0,10
351,Salão Candango 3,Guará,Serviço,ME,Masculino,50,Pessoas,Estruturação de processo seletivo e onboarding,2025-07-30,2026-01-28,3,5896.89,2055.59,1280.43,3,5954.37,1991.67,1320.9,59.4,7
352,Boutique do Cerrado,Gama,Comércio,EPP,Feminino,25,Comercial,Criação de script de atendimento comercial,2025-07-19,2026-01-17,10,34747.57,21273.32,1347.43,11,45074.14,25127.69,1813.31,86.5,10
353,Salão do Cerrado 4,Vicente Pires,Serviço,ME,Feminino,29,Finanças,Consultoria em precificação e formação de preço de venda,2025-07-14,2026-01-12,9,2257.61,760.42,166.35,9,2462.07,759.86,189.14,68.8,5
354,Armarinhos JK,Águas Claras,Comércio,ME,Masculino,42,Marketing,Plano de captação de clientes via marketing local,2025-07-14,2026-01-12,3,9673.75,5343.26,1443.5,3,12372.1,6390.14,1993.99,73.9,10
355,Studio JK 2,Samambaia,Serviço,ME,Masculino,61,Marketing,Plano de captação de clientes via marketing local,2024-07-17,2025-01-15,7,12678.05,4188.28,1212.83,8,16837.54,4489.0,1543.57,92.5,9
356,Laticínios Talento DF,Taguatinga,Indústria,ME,Feminino,38,Marketing,Desenvolvimento de identidade visual e branding,2025-12-24,2026-06-24,3,5719.6,3111.92,869.22,3,7068.13,3430.03,1212.7,89.2,7
357,Pet Shop Talento DF,Guará,Comércio,ME,Masculino,41,Comercial,Implementação de funil de vendas estruturado,2024-11-29,2025-05-30,1,16427.64,10566.33,5861.31,1,18143.51,11261.76,6881.76,65.0,8
358,Espaço Cristal 2,Núcleo Bandeirante,Serviço,ME,Masculino,66,Finanças,Consultoria em precificação e formação de preço de venda,2024-07-19,2025-01-17,7,4801.97,1889.02,416.14,7,5841.87,2206.97,519.27,60.4,7
359,Salão Talento DF 3,Ceilândia,Serviço,ME,Masculino,44,Finanças,Consultoria em precificação e formação de preço de venda,2025-10-09,2026-04-09,1,11963.71,5362.82,6600.89,1,10141.96,4594.89,5547.07,46.8,5
360,Ótica Bandeirante,Santa Maria,Comércio,ME,Feminino,37,Finanças,Consultoria em precificação e formação de preço de venda,2025-03-13,2025-09-11,2,22789.66,12661.31,5064.18,2,24264.1,12898.13,5682.99,66.0,9
361,Estúdio do Cerrado 2,Vicente Pires,Serviço,EPP,Masculino,37,Finanças,Plano de redução e renegociação de custos fixos,2024-12-29,2025-06-29,23,64326.34,21176.57,1876.08,23,65747.6,21526.11,1922.67,51.2,4
362,Clínica do Cerrado 4,Ceilândia,Serviço,ME,Feminino,26,Pessoas,Estruturação de processo seletivo e onboarding,2025-01-30,2025-07-31,6,8178.27,3445.86,788.73,6,8507.19,3487.47,836.62,57.6,7
363,Mercadinho Buriti,Ceilândia,Comércio,ME,Masculino,31,Finanças,Implementação de fluxo de caixa semanal,2025-05-22,2025-11-20,1,6983.51,4714.84,2268.67,2,9706.65,5860.29,1923.18,97.6,10
364,Oficina do Planalto 2,Guará,Serviço,ME,Feminino,50,Marketing,Desenvolvimento de identidade visual e branding,2025-04-18,2025-10-17,2,7508.52,3354.21,2077.16,1,6263.0,2999.79,3263.21,28.5,6
365,Assessoria Cristal 2,Recanto das Emas,Serviço,ME,Masculino,20,Pessoas,"Plano de cargos, salários e retenção de talentos",2024-06-09,2024-12-08,4,21251.31,8345.03,3226.57,4,24040.94,8841.85,3799.77,66.6,7
366,Escritório Buriti 2,Ceilândia,Serviço,ME,Masculino,51,Comercial,Consultoria em negociação com fornecedores e clientes,2024-08-12,2025-02-10,7,10186.99,4022.33,880.67,7,13716.99,4578.72,1305.47,90.7,10
367,Salão Sol Nascente 2,São Sebastião,Serviço,EPP,Masculino,28,Marketing,Plano de captação de clientes via marketing local,2025-12-30,2026-06-30,13,60099.84,15939.49,3396.95,13,62456.2,15571.39,3606.52,60.6,7
368,Gráfica Lago Sul,Planaltina,Indústria,ME,Feminino,36,Marketing,Plano de captação de clientes via marketing local,2025-03-27,2025-09-25,6,28961.38,14626.97,2389.07,6,21684.25,11709.51,1662.46,26.7,3
369,Salão Meridiano 2,Riacho Fundo,Serviço,EPP,Feminino,30,Comercial,Criação de script de atendimento comercial,2026-01-24,2026-07-25,17,85122.4,31219.66,3170.75,17,88326.56,32500.81,3283.87,49.2,6
370,Academia Talento DF 4,Riacho Fundo,Serviço,EPP,Masculino,39,Comercial,Criação de script de atendimento comercial,2025-07-06,2026-01-04,22,42284.95,14989.11,1240.72,22,48271.68,14663.9,1527.63,83.8,9
371,Escritório do Cerrado 2,Sobradinho,Serviço,ME,Masculino,49,Operações,Padronização de processos operacionais,2025-08-24,2026-02-22,3,9459.24,3807.52,1883.91,3,8737.82,3625.92,1703.97,41.7,6
372,Fábrica Candango,Planaltina,Indústria,ME,Masculino,39,Operações,Mapeamento e otimização de processos internos,2024-12-09,2025-06-09,13,5404.13,3505.83,146.02,14,7210.69,4292.75,208.42,85.6,10
373,Clínica das Águas Claras 3,Samambaia,Serviço,ME,Feminino,34,Operações,Padronização de processos operacionais,2025-10-25,2026-04-25,1,5636.92,1642.38,3994.54,2,7894.6,1798.08,3048.26,92.4,9
374,Boutique JK,Planaltina,Comércio,ME,Masculino,27,Pessoas,Programa de treinamento e desenvolvimento de colaboradores,2025-07-02,2025-12-31,9,8301.25,5276.94,336.03,9,10286.49,6506.51,420.0,52.1,7
375,Mercadinho Brasília,Ceilândia,Comércio,EPP,Feminino,47,Comercial,Implementação de funil de vendas estruturado,2025-09-02,2026-03-03,19,41233.33,29826.87,600.34,19,47407.12,32728.36,772.57,72.0,7
376,Mercadinho Meridiano,Recanto das Emas,Comércio,ME,Feminino,30,Operações,Mapeamento e otimização de processos internos,2024-11-10,2025-05-11,9,2350.55,1686.82,73.75,9,3233.94,2078.23,128.41,100.0,10
377,Alimentos Sol Nascente,Taguatinga,Indústria,EPP,Feminino,45,Marketing,Desenvolvimento de identidade visual e branding,2025-05-24,2025-11-22,78,77378.98,47467.26,383.48,78,81054.62,49697.73,402.01,50.2,5
378,Mercearia Bandeirante,Planaltina,Comércio,ME,Masculino,26,Marketing,Estruturação de presença em redes sociais,2025-01-12,2025-07-13,4,6016.15,4055.36,490.2,4,4516.45,3270.27,311.55,0.0,4
